time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-18T04:34:41.670Z,-5.5306,153.3422,55.18,4.6,mb,,97,1.774,1.16,us,us20008256,2016-12-18T04:53:14.040Z,"122km SSE of Taron, Papua New Guinea",earthquake,9.3,9.2,0.109,25,reviewed,us,us
2016-12-18T03:30:59.680Z,-29.2226,61.1142,10,5,mb,,62,9.376,1,us,us2000824t,2016-12-18T03:49:59.040Z,Southwest Indian Ridge,earthquake,11,1.9,0.065,77,reviewed,us,us
2016-12-18T02:24:46.950Z,-23.1361,-175.5769,65.58,5.2,mb,,87,6.642,1.14,us,us20008246,2016-12-18T02:43:28.040Z,"209km SSW of `Ohonua, Tonga",earthquake,6.2,7.1,0.083,49,reviewed,us,us
2016-12-18T01:44:47.650Z,0.7603,126.1275,45.72,4.7,mb,,67,1.239,0.55,us,us2000823w,2016-12-18T02:03:38.040Z,"129km SE of Bitung, Indonesia",earthquake,5.2,8.9,0.095,34,reviewed,us,us
2016-12-18T01:07:10.800Z,-5.7681,153.5758,49.71,4.6,mb,,57,2.105,0.97,us,us2000823m,2016-12-18T01:26:22.040Z,"155km SSE of Taron, Papua New Guinea",earthquake,6.6,10,0.114,23,reviewed,us,us
2016-12-18T00:43:37.620Z,-6.0651,153.9551,17.88,4.9,mb,,68,2.578,0.9,us,us2000823g,2016-12-18T01:01:33.040Z,"171km W of Panguna, Papua New Guinea",earthquake,6.6,2.4,0.095,35,reviewed,us,us
2016-12-17T22:48:35.700Z,-4.8055,153.8098,122.18,4.5,mb,,159,1.75,0.53,us,us2000822x,2016-12-17T23:06:47.040Z,"93km ESE of Taron, Papua New Guinea",earthquake,7.8,7.2,0.097,31,reviewed,us,us
2016-12-17T22:38:24.710Z,-4.5737,153.7338,108.58,4.9,mb,,163,1.611,0.71,us,us2000822t,2016-12-17T22:57:20.040Z,"78km E of Taron, Papua New Guinea",earthquake,10.1,7.1,0.122,21,reviewed,us,us
2016-12-17T22:21:28.570Z,-26.9473,-177.4583,101.72,5.4,mb,,63,10.054,1.32,us,us2000822g,2016-12-17T22:39:58.040Z,"260km N of Raoul Island, New Zealand",earthquake,9.4,6.6,0.047,155,reviewed,us,us
2016-12-17T21:17:37.040Z,16.2708,145.8015,140.59,5.1,mb,,93,1.024,0.85,us,us2000821y,2016-12-17T21:33:55.040Z,"17km SE of Anatahan, Northern Mariana Islands",earthquake,11.4,8,0.079,52,reviewed,us,us
